student_id,total_courses
16497,9
39417,8
4112,7
10539,7
18364,7
28582,7
31500,7
33235,7
40012,7
46226,7
809,6
4458,6
5279,6
6523,6
10166,6
10236,6
10957,6
11158,6
14107,6
14423,6
14868,6
18183,6
20087,6
21066,6
21405,6
23301,6
25275,6
25606,6
30204,6
31216,6
33045,6
33358,6
33555,6
36215,6
40904,6
41323,6
46985,6
49846,6
764,5
883,5
1873,5
2008,5
2143,5
2789,5
3365,5
3370,5
4019,5
4036,5
4817,5
5158,5
6144,5
6324,5
6499,5
6887,5
8030,5
8555,5
8600,5
8673,5
9899,5
10317,5
11016,5
11070,5
11094,5
11118,5
11127,5
11146,5
11373,5
12166,5
12781,5
13197,5
14682,5
15763,5
15945,5
16084,5
16344,5
16804,5
16916,5
17085,5
17260,5
17303,5
18174,5
18217,5
18636,5
18685,5
19476,5
19551,5
19710,5
20060,5
20435,5
20588,5
20605,5
21112,5
21667,5
22283,5
22412,5
22599,5
22726,5
22753,5
23234,5
23336,5
23428,5
24298,5
24332,5
24899,5
24993,5
25327,5
25665,5
26023,5
28023,5
28369,5
28884,5
29435,5
30228,5
30726,5
30727,5
31442,5
31736,5
32086,5
32433,5
32789,5
33319,5
34531,5
34705,5
34833,5
35804,5
36421,5
36573,5
36697,5
36874,5
37192,5
37449,5
37764,5
38566,5
38678,5
38989,5
39345,5
39647,5
40235,5
40742,5
40862,5
41344,5
41440,5
41772,5
41946,5
42523,5
42600,5
42661,5
43147,5
43289,5
44911,5
45872,5
45979,5
46093,5
46750,5
46887,5
47176,5
47459,5
47545,5
47685,5
48042,5
48405,5
49103,5
49162,5
49738,5
49812,5
371,4
622,4
919,4
1145,4
1271,4
1329,4
1440,4
1535,4
1637,4
1691,4
1751,4
1908,4
2019,4
2416,4
2522,4
2535,4
2547,4
2637,4
2651,4
2876,4
2932,4
2971,4
3037,4
3137,4
3165,4
3206,4
3340,4
3506,4
3547,4
3585,4
3751,4
3843,4
3891,4
3898,4
4149,4
4414,4
4517,4
4735,4
4778,4
4953,4
4995,4
5062,4
5187,4
5280,4
5286,4
5465,4
5682,4
5915,4
5929,4
5948,4
6031,4
6512,4
6513,4
6518,4
6558,4
6761,4
6850,4
6863,4
6958,4
7007,4
7141,4
7272,4
7431,4
7598,4
7616,4
7646,4
7650,4
7680,4
7713,4
7824,4
8003,4
8036,4
8188,4
8189,4
8247,4
8360,4
8412,4
8733,4
8843,4
8854,4
8958,4
8976,4
9246,4
9358,4
9453,4
9472,4
9625,4
9790,4
9887,4
9934,4
10012,4
10107,4
10134,4
10215,4
10358,4
10373,4
10381,4
10384,4
10426,4
10653,4
10683,4
10804,4
10986,4
11011,4
11022,4
11038,4
11066,4
11067,4
11577,4
11865,4
11984,4
12195,4
12398,4
12408,4
12431,4
12628,4
12733,4
13101,4
13407,4
13601,4
13722,4
13835,4
13858,4
13918,4
13926,4
14232,4
14382,4
14436,4
14441,4
14530,4
14590,4
14639,4
14997,4
15145,4
15168,4
15228,4
15272,4
15318,4
15372,4
15529,4
15531,4
15662,4
15720,4
15722,4
15846,4
15932,4
15981,4
16070,4
16130,4
16217,4
16282,4
16625,4
16668,4
16869,4
16986,4
17100,4
17118,4
17120,4
17273,4
17388,4
17493,4
17884,4
18098,4
18129,4
18165,4
18213,4
18250,4
18255,4
18421,4
18448,4
18593,4
18651,4
18735,4
19041,4
19053,4
19201,4
19247,4
19668,4
19674,4
19791,4
19811,4
19851,4
19892,4
19928,4
19987,4
20229,4
20394,4
20562,4
20625,4
20639,4
20695,4
20730,4
20743,4
20974,4
21044,4
21391,4
21599,4
21603,4
21640,4
21858,4
21882,4
21888,4
22092,4
22163,4
22230,4
22596,4
22672,4
22822,4
22979,4
23157,4
23454,4
23556,4
23641,4
23680,4
24040,4
24053,4
24198,4
24492,4
24532,4
24584,4
24597,4
24765,4
24827,4
24840,4
24905,4
24944,4
25216,4
25574,4
25695,4
26042,4
26131,4
26158,4
26334,4
26375,4
26377,4
26396,4
26442,4
26510,4
26730,4
26778,4
27068,4
27321,4
27480,4
27577,4
27822,4
28208,4
28329,4
28426,4
28738,4
28739,4
28875,4
28947,4
28972,4
29144,4
29167,4
29221,4
29340,4
29378,4
29418,4
29827,4
29887,4
30186,4
30641,4
30959,4
31007,4
31153,4
31265,4
31385,4
31445,4
31505,4
31842,4
31864,4
31876,4
32062,4
32137,4
32142,4
32191,4
32267,4
32420,4
32432,4
32600,4
32834,4
33025,4
33073,4
33212,4
33423,4
33571,4
33577,4
33720,4
33875,4
33898,4
34768,4
35072,4
35143,4
35298,4
35770,4
35796,4
35847,4
35953,4
36240,4
36371,4
36728,4
36959,4
37330,4
37374,4
37460,4
37565,4
37613,4
37715,4
37742,4
37789,4
37899,4
38193,4
38569,4
38784,4
38970,4
39002,4
39026,4
39090,4
39098,4
39183,4
39468,4
39829,4
39959,4
39986,4
40026,4
40266,4
40287,4
40648,4
40698,4
40839,4
40956,4
41015,4
41119,4
41180,4
41216,4
41234,4
41389,4
41428,4
41439,4
41511,4
41693,4
41773,4
41925,4
41993,4
