course_name,attendance_percentage
"IT Project Management",87.39
"Industrial Automation",87.22
"Industrial Engineering",86.09
Mechatronics,85.63
"Embedded Systems",85.42
"Welding Technology",85.00
"Transmission Systems",84.89
"Internet of Things",84.81
"Control Instrumentation",84.29
"High Voltage Engineering",84.03
Microprocessors,83.97
"Technology Consulting",83.90
"RF Engineering",83.85
"Quantum Computing",83.83
"Computer Vision",83.82
"Protection Systems",83.55
"Signal Processing",83.44
"Game Development",83.33
"Electric Vehicles",82.93
"Energy Management",82.86
DevOps,82.78
"Machine Design",82.69
"Industrial Drives",82.67
"Digital Signal Processing",82.63
"Parallel Computing",82.43
"Sensor Networks",81.94
"Refrigeration and AC",81.94
"Data Mining",81.82
"Theory of Computation",81.69
"Natural Language Processing",81.62
"Mobile Computing",81.46
Robotics,81.43
"VLSI Design",81.37
"Automobile Engineering",81.33
"Substation Engineering",81.14
Thermodynamics,81.05
"Radar Systems",81.02
"Communication Systems",80.99
"Power Plant Engineering",80.95
"Human Computer Interaction",80.92
"Plant Engineering",80.92
"IT Infrastructure Management",80.82
"Object Oriented Programming",80.61
"Heat Transfer",80.56
"Electrical Machines",80.54
"Software Engineering",80.52
"Cloud Architecture",80.43
"System Integration",80.41
"Automation Engineering",80.38
"IT Auditing",80.37
"Digital Electronics",80.30
"Data Warehousing",80.26
"Enterprise Systems",80.15
"IoT Hardware Design",80.15
"Machine Learning",80.13
"Software Testing",80.00
"API Development",79.87
"Operating Systems",79.87
"Circuit Theory",79.86
"Digital Transformation",79.76
"Hydraulics and Pneumatics",79.71
"Advanced Java",79.63
"Artificial Intelligence",79.59
"Analog Circuits",79.51
"Web Technologies",79.50
"Blockchain Technology",79.34
CAD/CAM,79.33
"Recommendation Systems",79.31
"Information Security",79.21
"Agile Methodologies",79.19
"Big Data Analytics",79.14
"Full Stack Development",78.99
"Microwave Engineering",78.95
"Data Structures",78.89
"Composite Materials",78.85
"Power Systems",78.83
"Renewable Energy Systems",78.77
"Python Programming",78.71
"Business Intelligence",78.69
"Deep Learning",78.67
"Satellite Communication",78.48
"Finite Element Analysis",78.32
"Electrical Design",77.99
"Optical Communication",77.85
"Data Governance",77.78
"Wireless Networks",77.71
"Fluid Mechanics",77.64
"Mechanical Vibrations",77.63
"Dynamics of Machines",77.54
"Digital Forensics",77.33
"Biomedical Electronics",76.60
"Compiler Design",76.35
"Smart Grid Technology",76.26
"Computer Networks",75.30
"Production Planning",75.28
"Tool Engineering",74.83
Cryptography,74.82
"Software Architecture",74.72
"Semiconductor Devices",74.17
"Electrical Measurements",70.97
